# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1132.7049	-451.91	0.6608	0.1483	4.8692e-15	1.0928e-15	7.3692e-15
1132.7348	-444.01	0.9495	0.1762	6.9960e-15	1.2979e-15	7.3679e-15
1132.7647	-436.10	0.9735	0.1782	7.1717e-15	1.3129e-15	7.3667e-15
1132.7946	-428.20	0.9158	0.1730	6.7451e-15	1.2744e-15	7.3655e-15
1132.8245	-420.29	0.8018	0.1623	5.9049e-15	1.1953e-15	7.3643e-15
1132.8544	-412.39	1.0067	0.1809	7.4123e-15	1.3320e-15	7.3631e-15
1132.8843	-404.48	0.9778	0.1783	7.1982e-15	1.3125e-15	7.3619e-15
1132.9142	-396.58	1.0592	0.1852	7.7961e-15	1.3632e-15	7.3607e-15
1132.9442	-388.68	1.1992	0.1966	8.8252e-15	1.4469e-15	7.3595e-15
1132.9741	-380.77	0.8913	0.1703	6.5585e-15	1.2528e-15	7.3583e-15
1133.0040	-372.87	1.0584	0.1849	7.7867e-15	1.3605e-15	7.3571e-15
1133.0339	-364.96	1.2292	0.1988	9.0419e-15	1.4623e-15	7.3559e-15
1133.0638	-357.06	1.3652	0.2092	1.0041e-14	1.5384e-15	7.3547e-15
1133.0937	-349.15	1.0485	0.1839	7.7098e-15	1.3524e-15	7.3535e-15
1133.1236	-341.25	0.8574	0.1669	6.3039e-15	1.2268e-15	7.3523e-15
1133.1535	-333.35	0.9651	0.1766	7.0948e-15	1.2984e-15	7.3511e-15
1133.1834	-325.44	0.7556	0.1570	5.5537e-15	1.1540e-15	7.3499e-15
1133.2133	-317.54	0.8646	0.1674	6.3535e-15	1.2303e-15	7.3487e-15
1133.2432	-309.63	0.9931	0.1789	7.2966e-15	1.3147e-15	7.3474e-15
1133.2732	-301.73	1.1914	0.1954	8.7521e-15	1.4354e-15	7.3462e-15
1133.3031	-293.82	1.2680	0.2013	9.3136e-15	1.4789e-15	7.3450e-15
1133.3330	-285.92	1.2730	0.2017	9.3484e-15	1.4810e-15	7.3438e-15
1133.3629	-278.02	0.9932	0.1788	7.2929e-15	1.3127e-15	7.3426e-15
1133.3928	-270.11	1.1534	0.1921	8.4674e-15	1.4106e-15	7.3414e-15
1133.4227	-262.21	1.2149	0.1970	8.9177e-15	1.4462e-15	7.3402e-15
1133.4526	-254.30	1.2087	0.1965	8.8704e-15	1.4420e-15	7.3390e-15
1133.4825	-246.40	0.9284	0.1729	6.8124e-15	1.2686e-15	7.3378e-15
1133.5124	-238.49	1.0111	0.1801	7.4182e-15	1.3214e-15	7.3366e-15
1133.5423	-230.59	0.9750	0.1769	7.1521e-15	1.2977e-15	7.3354e-15
1133.5723	-222.68	0.8767	0.1680	6.4298e-15	1.2321e-15	7.3342e-15
1133.6022	-214.78	0.9717	0.1765	7.1252e-15	1.2943e-15	7.3330e-15
1133.6321	-206.88	0.7866	0.1595	5.7674e-15	1.1691e-15	7.3318e-15
1133.6620	-198.97	1.0839	0.1861	7.9458e-15	1.3641e-15	7.3306e-15
1133.6919	-191.07	0.6418	0.1447	4.7040e-15	1.0607e-15	7.3294e-15
1133.7218	-183.16	0.8382	0.1643	6.1424e-15	1.2043e-15	7.3282e-15
1133.7517	-175.26	0.7500	0.1558	5.4949e-15	1.1416e-15	7.3270e-15
1133.7816	-167.35	1.0046	0.1793	7.3597e-15	1.3132e-15	7.3258e-15
1133.8115	-159.45	0.9164	0.1714	6.7122e-15	1.2557e-15	7.3246e-15
1133.8414	-151.55	0.8552	0.1658	6.2629e-15	1.2142e-15	7.3234e-15
1133.8714	-143.64	0.5842	0.1382	4.2775e-15	1.0123e-15	7.3222e-15
1133.9013	-135.74	1.1309	0.1896	8.2792e-15	1.3880e-15	7.3210e-15
1133.9312	-127.83	0.7234	0.1530	5.2949e-15	1.1196e-15	7.3198e-15
1133.9611	-119.93	0.6242	0.1427	4.5685e-15	1.0442e-15	7.3186e-15
1133.9910	-112.02	0.5153	0.1305	3.7707e-15	9.5489e-16	7.3175e-15
1134.0209	-104.12	0.4219	0.1167	3.0864e-15	8.5414e-16	7.3163e-15
1134.0508	-96.22	0.3909	0.1150	2.8598e-15	8.4106e-16	7.3151e-15
1134.0807	-88.31	0.2397	0.0928	1.7535e-15	6.7880e-16	7.3139e-15
1134.1106	-80.41	0.3235	0.1058	2.3656e-15	7.7390e-16	7.3127e-15
1134.1406	-72.50	0.5288	0.1323	3.8662e-15	9.6760e-16	7.3115e-15
1134.1705	-64.60	0.5398	0.1337	3.9457e-15	9.7725e-16	7.3103e-15
1134.2004	-56.69	0.5179	0.1312	3.7853e-15	9.5924e-16	7.3091e-15
1134.2303	-48.79	0.2686	0.0977	1.9627e-15	7.1400e-16	7.3079e-15
1134.2602	-40.89	0.3395	0.1087	2.4809e-15	7.9423e-16	7.3067e-15
1134.2901	-32.98	0.1494	0.0774	1.0917e-15	5.6552e-16	7.3055e-15
