# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1146.6858	3242.84	0.9365	0.1651	3.6359e-15	6.4087e-16	3.8826e-15
1146.7157	3250.74	0.8522	0.1507	3.3075e-15	5.8492e-16	3.8811e-15
1146.7456	3258.65	1.3103	0.1859	5.0832e-15	7.2114e-16	3.8796e-15
1146.7755	3266.55	1.0321	0.1679	4.0026e-15	6.5128e-16	3.8781e-15
1146.8055	3274.46	1.0223	0.1650	3.9631e-15	6.3973e-16	3.8766e-15
1146.8354	3282.36	0.6270	0.1342	2.4299e-15	5.1990e-16	3.8751e-15
1146.8653	3290.27	1.0929	0.1709	4.2337e-15	6.6204e-16	3.8737e-15
1146.8952	3298.17	0.8814	0.1559	3.4131e-15	6.0376e-16	3.8722e-15
1146.9251	3306.07	1.0271	0.1662	3.9755e-15	6.4348e-16	3.8708e-15
1146.9550	3313.98	1.0044	0.1642	3.8863e-15	6.3534e-16	3.8694e-15
1146.9849	3321.88	0.9076	0.1554	3.5106e-15	6.0100e-16	3.8680e-15
1147.0148	3329.79	0.6536	0.1330	2.5271e-15	5.1412e-16	3.8666e-15
1147.0447	3337.69	1.1589	0.1752	4.4793e-15	6.7735e-16	3.8652e-15
1147.0746	3345.60	0.7865	0.1489	3.0387e-15	5.7529e-16	3.8638e-15
1147.1046	3353.50	0.9462	0.1595	3.6544e-15	6.1599e-16	3.8624e-15
1147.1345	3361.41	0.7599	0.1448	2.9340e-15	5.5912e-16	3.8610e-15
1147.1644	3369.31	0.7751	0.1470	2.9914e-15	5.6733e-16	3.8596e-15
1147.1943	3377.21	1.2308	0.1796	4.7488e-15	6.9301e-16	3.8583e-15
1147.2242	3385.12	0.9144	0.1584	3.5269e-15	6.1104e-16	3.8569e-15
1147.2541	3393.02	0.9781	0.1629	3.7711e-15	6.2803e-16	3.8556e-15
1147.2840	3400.93	1.0273	0.1654	3.9594e-15	6.3760e-16	3.8543e-15
1147.3139	3408.83	1.0479	0.1684	4.0376e-15	6.4883e-16	3.8530e-15
1147.3438	3416.74	0.9117	0.1658	3.5115e-15	6.3875e-16	3.8516e-15
1147.3737	3424.64	0.9315	0.1570	3.5864e-15	6.0448e-16	3.8503e-15
1147.4036	3432.54	0.8323	0.1511	3.2034e-15	5.8145e-16	3.8490e-15
1147.4336	3440.45	1.0202	0.1645	3.9255e-15	6.3284e-16	3.8478e-15
1147.4635	3448.35	0.5955	0.1383	2.2907e-15	5.3215e-16	3.8465e-15
